img_path,clas,split,resized
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0115-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0115-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0117-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0117-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0119-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0119-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0122-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0122-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0125-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0125-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0127-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0127-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0128-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0128-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0129-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0129-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0131-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0131-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0133-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0133-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0135-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0135-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0137-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0137-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0140-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0140-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0141-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0141-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0143-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0143-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0145-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0145-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0147-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0147-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0149-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0149-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0151-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0151-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0152-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0152-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0154-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0154-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0156-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0156-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0158-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0158-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0160-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0160-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0162-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0162-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0164-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0164-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0166-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0166-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0168-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0168-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0170-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0170-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0172-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0172-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0176-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0176-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0177-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0177-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0178-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0178-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0180-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0180-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0182-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0182-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0183-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0183-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0185-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0185-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0187-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0187-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0189-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0189-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0191-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0191-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0193-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0193-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0195-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0195-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0199-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0199-0001.jpeg
F:\New folder (2)\chest_xray\chest_xray_2\train\NORMAL\IM-0201-0001.jpeg,NORMAL,train,C:/Users/DELL/OneDrive/Documents/GitHub/xray/data/resized/train_NORMAL_IM-0201-0001.jpeg
